original_index_1,original_index_2,title1,title2,ratio,token_sort,token_set,final_score,year1,year2,doi1,doi2,source1,source2
103699,153303,Polymorphism in a Plasmodium falciparum merozoite surface protein gene in Sri Lanka demonstrated by southern hybridization,Polymorphism in a Plasmodium falciparum merozoite surface protein gene in Sri Lanka demonstrated by southern hybridization,100.0,100.0,100.0,100.0,1995.0,1995.0,,10.4038/jnsfsr.v23i3.5847,repositories_combined,sljol; repositories_combined
98512,76632,Eruption times of deciduous teeth in a group of Sinhalese children attending well baby clinics,Eruption times of deciduous teeth in a group of Sinhalese children attending well baby clinics,100.0,100.0,100.0,100.0,1994.0,1994.0,,,repositories_combined,repositories_combined
95144,95145,யாழ்ப்பாணத்து மூவலகு வீடுகள்,யாழ்ப்பாணத்து மூவலகு வீடுகள்,100.0,100.0,100.0,100.0,2006.0,2006.0,,,repositories_combined,repositories_combined
101497,142825,Rice fields:an ecosystem rich in biodiversity,Rice Fields: an Ecosystem Rich in Biodiversity,100.0,100.0,100.0,100.0,2006.0,2006.0,,10.4038/jnsfsr.v34i2.2084,repositories_combined,sljol; repositories_combined
91816,85740,Preliminary report of identification of scrub typhus in Jaffna,Preliminary report of identification of scrub typhus in Jaffna,100.0,100.0,100.0,100.0,2006.0,2006.0,,,repositories_combined,repositories_combined
84313,90632,Isolation of α-amylase producing bacteria by Gel Micro Droplet method,Isolation of α-amylase producing bacteria by Gel Micro Droplet method,100.0,100.0,100.0,100.0,2006.0,2006.0,,,repositories_combined,repositories_combined
154361,106445,Energy absorption by the human body from RF and microwave emissions in Sri Lanka,Energy absorption by the human body from RF and microwave emissions in Sri Lanka,100.0,100.0,100.0,100.0,2006.0,2006.0,10.4038/sljp.v7i0.207,,sljol; repositories_combined,repositories_combined
109908,152742,Effect of Cathode thickness on the performance of the cell Li/ PAN:EC:PC:LiCF3SO3/PPy:DBS,Effect of Cathode thickness on the performance of the cell Li/ PAN:EC:PC:LiCF3SO3/PPy:DBS,100.0,100.0,100.0,100.0,2006.0,2006.0,,10.4038/sljp.v7i0.206,repositories_combined,sljol; repositories_combined
82077,80095,ශ්‍රී ලංකාවේ පාසල් ළමයින්ගේ අයිතිවාසිකම් සුරකිමෙහිලා ගුරුවරුන්ගේ කාර්යභාරය පිලිබඳ කෙරෙන විමර්ශනාත්මක අධ්‍යනයක් (උතුරුමැද පළාත ඇසුරිණි),ශ්‍රී ලංකාවේ පාසල් ළමයින්ගේ අයිතිවාසිකම් සුරකිමෙහිලා ගුරුවරුන්ගේ කාර්යභාරය පිලිබඳ කෙරෙන විමර්ශනාත්මක අධ්‍යනයක් (උතුරුමැද පළාත ඇසුරිණි),100.0,100.0,100.0,100.0,2005.0,2005.0,,,repositories_combined,repositories_combined
107382,144791,The problem of solid waste:a case study of the Maharagama local authority,The Problem of Solid Waste: A Case Study of the Maharagama Local Authority,100.0,100.0,100.0,100.0,2005.0,2005.0,,10.4038/jnsfsr.v33i1.2367,repositories_combined,sljol; repositories_combined
147757,98289,A new plate boundary near Sri Lanka: implications for future geohazards,A new plate boundary near Sri Lanka:implications for future geohazards,100.0,100.0,100.0,100.0,2005.0,2005.0,10.4038/jnsfsr.v33i1.2361,,sljol; repositories_combined,repositories_combined
61044,70315,"A Review of Public Healthcare Information Systems in Sri Lanka: Challenges, Benefits, and Future Research Directions","A Review of Public Healthcare Information Systems in Sri Lanka: Challenges, Benefits, and Future Research Directions",100.0,100.0,100.0,100.0,2026.0,2026.0,10.9734/ajrcos/2026/v19i1806,,openalex; crossref,openalex
70932,70862,A new genus and three new species of jumping spiders (Araneae: Salticidae) from Sri Lanka,A new genus and three new species of jumping spiders (Araneae: Salticidae) from Sri Lanka,100.0,100.0,100.0,100.0,2026.0,2026.0,10.48580/dxbx.v82,10.48580/dxbx,openalex,openalex
71741,71742,A multi-scale analyses of vegetation and soil burn severity during the 2025 wildfire season in NW Spain,A multi-scale analyses of vegetation and soil burn severity during the 2025 wildfire season in NW Spain,100.0,100.0,100.0,100.0,2026.0,2026.0,10.5281/zenodo.19629489,10.5281/zenodo.19629488,openalex,openalex
4325,12950,Thermoelectric performance enhancement of copper iodide pellets through potassium iodide doping,Thermoelectric Performance Enhancement of Copper Iodide Pellets Through Potassium Iodide Doping,100.0,100.0,100.0,100.0,2025.0,2025.0,10.1016/j.jpowsour.2025.237043,10.2139/ssrn.5106168,openalex; crossref,openalex; crossref
69598,69641,The Merit of Intention: When Aspiration Precedes Action,The Merit of Intention: When Aspiration Precedes Action,100.0,100.0,100.0,100.0,2025.0,2025.0,10.5281/zenodo.17584271,10.5281/zenodo.17584272,openalex,openalex
69805,69814,"The FKK Theory in Western Cultural Perspective: A Synthesis of the Phenomenon of ""Free Body Culture""","The FKK Theory in Western Cultural Perspective: A Synthesis of the Phenomenon of ""Free Body Culture""",100.0,100.0,100.0,100.0,2025.0,2025.0,10.5281/zenodo.17660162,10.5281/zenodo.17660163,openalex,openalex
70016,70004,"TC4BE Report on transformative change pathways on trade, legal actions, and corporate governance Deliverable 2.2","TC4BE Report on transformative change pathways on trade, legal actions, and corporate governance Deliverable 2.2",100.0,100.0,100.0,100.0,2025.0,2025.0,10.5281/zenodo.17828729,10.5281/zenodo.17828446,openalex,openalex
148779,154462,Snippets from the world wide web,Snippets from the world wide web,100.0,100.0,100.0,100.0,2009.0,2009.0,10.4038/sljch.v31i3.772,10.4038/sljch.v33i3.644,sljol; repositories_combined,sljol; repositories_combined
148779,151214,Snippets from the world wide web,Snippets from the world wide web,100.0,100.0,100.0,100.0,2009.0,2009.0,10.4038/sljch.v31i3.772,10.4038/sljch.v32i2.729,sljol; repositories_combined,sljol; repositories_combined
97452,130135,Possible familial gestational spontaneous ovarian hyperstimulation syndrome due to mutation of FSH receptors (FGSOHS),Possible familial gestational spontaneous ovarian hyperstimulation syndrome due to mutation of FSH receptors (FGSOHS),100.0,100.0,100.0,100.0,2009.0,2009.0,,10.4038/cmj.v54i1.474,repositories_combined,sljol; repositories_combined
140394,104077,Do Sri Lankan meals help decrease blood glucose response?,Do Sri Lankan meals help decrease blood glucose response?,100.0,100.0,100.0,100.0,2009.0,2009.0,10.4038/cmj.v54i2.793,,sljol; repositories_combined,repositories_combined
96982,141860,Alcohol and tobacco use among males in two districts in Sri Lanka,Alcohol and tobacco use among males in two districts in Sri Lanka,100.0,100.0,100.0,100.0,2009.0,2009.0,,10.4038/cmj.v54i4.1452,repositories_combined,sljol; repositories_combined
155753,154826,Snippets from the world wide web,Snippets from the world wide web,100.0,100.0,100.0,100.0,2008.0,2008.0,10.4038/sljch.v37i1.86,10.4038/sljch.v35i2.16,sljol; repositories_combined,sljol; repositories_combined
153439,154826,Snippets from the world wide web,Snippets from the world wide web,100.0,100.0,100.0,100.0,2008.0,2008.0,10.4038/sljch.v35i4.34,10.4038/sljch.v35i2.16,sljol; repositories_combined,sljol; repositories_combined
153439,155753,Snippets from the world wide web,Snippets from the world wide web,100.0,100.0,100.0,100.0,2008.0,2008.0,10.4038/sljch.v35i4.34,10.4038/sljch.v37i1.86,sljol; repositories_combined,sljol; repositories_combined
139756,100288,Chronic hypernatraemia due to osmoreceptor dysfunction,Chronic hypernatraemia due to osmoreceptor dysfunction,100.0,100.0,100.0,100.0,2008.0,2008.0,10.4038/cmj.v53i3.258,,sljol; repositories_combined,repositories_combined
106038,151486,Chromosome substitution lines for the analysis of heterosis in Arabidopsis thaliana,Chromosome substitution lines for the analysis of heterosis in Arabidopsis thaliana,100.0,100.0,100.0,100.0,2008.0,2008.0,,10.4038/jnsfsr.v36i4.265,repositories_combined,sljol; repositories_combined
169218,51530,Tailoring ZnO nanostructure for enhanced capacitive UV response,Tailoring ZNO Nanostructure for Enhanced Capacitive UV Response,100.0,100.0,100.0,100.0,2025.0,2025.0,,10.1109/mercon67903.2025.11217120,repositories_combined,openalex; crossref
60127,157275,Service Process Improvement Through VSM of Lean Six Sigma: A Case Study,Service process improvement through VSM of lean six sigma: a case study,100.0,100.0,100.0,100.0,2025.0,2025.0,10.1109/mercon67903.2025.11217077,,openalex; crossref,repositories_combined
59684,60499,Reply on RC2,Reply on RC2,100.0,100.0,100.0,100.0,2025.0,2025.0,10.5194/egusphere-2025-2973-ac1,10.5194/egusphere-2025-3357-ac2,openalex; crossref,openalex; crossref
131862,151304,Quality of cow milk set yoghurt stabilized with native sweet potato (ipomoea batatas l.) starch extracted using different methods,Quality of cow milk set yoghurt stabilized with native sweet potato (Ipomoea batatas L.) starch extracted using different methods,100.0,100.0,100.0,100.0,2025.0,2025.0,,10.4038/tare.v28i1.5742,repositories_combined,sljol; repositories_combined
69515,69512,Neuroleptospirosis in patients presenting with primary central nervous system infection: a multicentre study,Neuroleptospirosis in patients presenting with primary central nervous system infection: a multicentre study,100.0,100.0,100.0,100.0,2025.0,2025.0,10.5281/zenodo.17545329,10.5281/zenodo.17545328,openalex,openalex
70003,69996,Moral Community Support for Vulnerable and Fire-Affected Households,Moral Community Support for Vulnerable and Fire-Affected Households,100.0,100.0,100.0,100.0,2025.0,2025.0,10.5281/zenodo.17813627,10.5281/zenodo.17813626,openalex,openalex
70179,70177,Mass Behavior Theories from Around the World: A Comprehensive Scholarly Synthesis,Mass Behavior Theories from Around the World: A Comprehensive Scholarly Synthesis,100.0,100.0,100.0,100.0,2025.0,2025.0,10.5281/zenodo.18032851,10.5281/zenodo.18032850,openalex,openalex
72341,72332,Integrated Framework for Enhanced Diabetic Patient Care with Predictive Analytics,Integrated Framework for Enhanced Diabetic Patient Care with Predictive Analytics,100.0,100.0,100.0,100.0,2025.0,2025.0,10.5281/zenodo.20494039,10.5281/zenodo.20486851,openalex,openalex
150588,143332,From the Editor....,From the Editor....,100.0,100.0,100.0,100.0,2025.0,2025.0,10.4038/engineer.v58i3.7700,10.4038/engineer.v58i2.7688,sljol; repositories_combined,sljol; repositories_combined
90108,143332,From the Editor,From the Editor....,100.0,100.0,100.0,100.0,2025.0,2025.0,10.4038/ijcbr.v3i2.10,10.4038/engineer.v58i2.7688,sljol; repositories_combined,sljol; repositories_combined
90108,150588,From the Editor,From the Editor....,100.0,100.0,100.0,100.0,2025.0,2025.0,10.4038/ijcbr.v3i2.10,10.4038/engineer.v58i3.7700,sljol; repositories_combined,sljol; repositories_combined
72110,72105,Figure 3 in Suppression of Aedes albopictus in Sri Lanka using the Sterile Insect Technique (SIT) with a sustained effect,Figure 3 in Suppression of Aedes albopictus in Sri Lanka using the Sterile Insect Technique (SIT) with a sustained effect,100.0,100.0,100.0,100.0,2025.0,2025.0,10.5281/zenodo.20231465,10.5281/zenodo.20231464,openalex,openalex
145421,108446,Organizational Factors Affecting E-commerce Adoption in Small and Medium-sized Enterprises,Organizational factors affecting e-commerce adoption in small and medium-sized enterprises,100.0,100.0,100.0,100.0,2011.0,2011.0,10.4038/tar.v22i2.2829,,sljol; repositories_combined,repositories_combined
105070,152188,"Acute toxicity of a glyphosate herbicide, Roundup, to two freshwater crustaceans.","Acute toxicity of a glyphosate herbicide, Roundup®, to two freshwater crustaceans",100.0,100.0,100.0,100.0,2011.0,2011.0,,10.4038/jnsfsr.v39i2.3178,repositories_combined,sljol; repositories_combined
100741,150299,Variation of three co-occurring taxa of the genus Cyathea in Singharaja and Kanneliya lowland rain forests of Sri Lanka,Variation of Three Co-occurring Taxa of the Genus Cyathea in Singharaja and Kanneliya Lowland Rain Forests of Sri Lanka,100.0,100.0,100.0,100.0,2010.0,2010.0,,10.4038/tar.v21i2.2595,repositories_combined,sljol; repositories_combined
