institution_id,preferred_name,alternative_name,country_code,ror_id,parent_institution_id,institution_type,source_institution_id
LK046,South Asian Clinical Toxicology Research Collaboration,South Asian Clinical Toxicology Research Collaboration,LK,,,ngo_or_association,
LK047,Trincomalee Hospital,Trincomalee Hospital,LK,,,hospital,
LK048,Nawaloka Hospital,Nawaloka Hospital,LK,,,hospital,
LK049,Sri Lanka Foundation,Sri Lanka Foundation,LK,,,research_institute,
LK050,Centre for Conservation and Research,Centre for Conservation and Research,LK,,,research_institute,
LK051,Lanka Hospitals,Lanka Hospitals,LK,,,hospital,
LK052,CINEC Campus (Pvt) Ltd,CINEC Campus (Pvt) Ltd,LK,,,university,
LK053,Genetech (Sri Lanka),Genetech (Sri Lanka),LK,,,company,
LK054,Anti Filariasis Campaign,Anti Filariasis Campaign,LK,,,other,
LK055,"Post Graduate Institute of Medicine, University of Colombo, Sri Lanka","Post Graduate Institute of Medicine, University of Colombo, Sri Lanka",LK,,,university,pgim
LK056,Blue Resources Trust,Blue Resources Trust,LK,,,ngo_or_association,
LK057,Sri Lanka College of Obstetricians & Gynaecologists,Sri Lanka College of Obstetricians & Gynaecologists,LK,,,college,
LK058,GlaxoSmithKline (Sri Lanka),GlaxoSmithKline (Sri Lanka),LK,,,company,
LK059,Sri Lanka Law College,Sri Lanka Law College,LK,,,college,
LK060,Lanka Hydraulic Institute (Sri Lanka),Lanka Hydraulic Institute (Sri Lanka),LK,,,research_institute,
LK061,Veterinary Research Institute,Veterinary Research Institute,LK,,,research_institute,
LK062,Mannar Hospital,Mannar Hospital,LK,,,hospital,
LK063,Buddhist and Pali University of Sri Lanka,Buddhist and Pali University of Sri Lanka,LK,,,university,bpu
LK063,Buddhist and Pali University of Sri Lanka,BPU,LK,,,university,
LK064,Kilinochchi General Hospital,Kilinochchi General Hospital,LK,,,hospital,
LK065,Ministry OF City Planning and Water Supply,Ministry OF City Planning and Water Supply,LK,,,government_body,
LK066,Ampara Hospital,Ampara Hospital,LK,,,hospital,
LK067,WSO2 (Sri Lanka),WSO2 (Sri Lanka),LK,,,company,
LK068,Tellippalai Hospital,Tellippalai Hospital,LK,,,hospital,
LK069,Dr Neville Fernando Teaching Hospital,Dr Neville Fernando Teaching Hospital,LK,,,hospital,
LK070,University Grants Commission Sri Lanka,University Grants Commission Sri Lanka,LK,,,university,
LK071,Bandaranaike Centre for International Studies,Bandaranaike Centre for International Studies,LK,,,research_institute,
LK072,Durdans Hospital,Durdans Hospital,LK,,,hospital,
LK073,Care International Sri Lanka,Care International Sri Lanka,LK,,,other,
LK074,Wijeya Newspapers (Sri Lanka),Wijeya Newspapers (Sri Lanka),LK,,,company,
LK075,International Centre for Ethnic Studies,International Centre for Ethnic Studies,LK,,,research_institute,
LK076,GreenTech Consultants (Sri Lanka),GreenTech Consultants (Sri Lanka),LK,,,company,
LK077,Sri Lanka College of Paediatricians,Sri Lanka College of Paediatricians,LK,,,college,
LK078,Kalmunai North Hospital,Kalmunai North Hospital,LK,,,hospital,
LK079,Anti Leprosy Campaign,Anti Leprosy Campaign,LK,,,other,
LK080,Point Pedro Institute of Development,Point Pedro Institute of Development,LK,,,research_institute,
LK081,Ashraff Memorial Hospital,Ashraff Memorial Hospital,LK,,,hospital,
LK082,Sri Lanka Council For Agricultural Research Policy,Sri Lanka Council For Agricultural Research Policy,LK,,,government_body,
LK083,PASSAsia (Sri Lanka),PASSAsia (Sri Lanka),LK,,,other,
LK084,FAIRMED,FAIRMED,LK,,,other,
LK085,Centre for Policy Alternatives,Centre for Policy Alternatives,LK,,,ngo_or_association,
LK086,Law & Society Trust,Law & Society Trust,LK,,,ngo_or_association,
LK087,Government Medical Officers Association,Government Medical Officers Association,LK,,,ngo_or_association,
LK088,Point Pedro Hospital,Point Pedro Hospital,LK,,,hospital,
LK089,Chavakachcheri Hospital,Chavakachcheri Hospital,LK,,,hospital,
LK090,Kayts Hospital,Kayts Hospital,LK,,,hospital,
LK091,Geo Explore Foundation,Geo Explore Foundation,LK,,,research_institute,
LK092,Mullaitivu Hospital,Mullaitivu Hospital,LK,,,hospital,
LK093,Cancer Care Association Sri Lanka,Cancer Care Association Sri Lanka,LK,,,ngo_or_association,
LK094,South Asians for Human Rights,South Asians for Human Rights,LK,,,ngo_or_association,
LK095,Federation of Sri Lankan Local Government Authorities,Federation of Sri Lankan Local Government Authorities,LK,,,ngo_or_association,
LK096,Women's Fund Asia,Women's Fund Asia,LK,,,ngo_or_association,
LK097,Mallavi Hospital,Mallavi Hospital,LK,,,hospital,
LK098,National Centre for Advanced Studies in Humanities and Social Sciences,National Centre for Advanced Studies in Humanities and Social Sciences,LK,,,research_institute,ncas
LK099,One Text Initiative,One Text Initiative,LK,,,ngo_or_association,
LK100,Cheddikulam Hospital,Cheddikulam Hospital,LK,,,hospital,
LK101,Foundation for Environment Climate and Technology,Foundation for Environment Climate and Technology,LK,,,research_institute,
LK102,"Institute of Town Planners, Sri lanka","Institute of Town Planners, Sri lanka",LK,,,research_institute,
LK008,University of Ruhuna,University of Ruhuna Mapalana Kamburupitiya Matara,LK,,,university,
LK002,University of Peradeniya,University of Peradeniya Peradeniya,LK,,,university,
