language,rows,pct
en,105848,81.73
unknown,17835,13.77
other,4088,3.16
si,951,0.73
fr,128,0.1
id,116,0.09
es,88,0.07
ar,73,0.06
pt,60,0.05
de,48,0.04
tr,30,0.02
ta,29,0.02
ng,22,0.02
fa,16,0.01
it,14,0.01
ang,13,0.01
nl,12,0.01
lv,12,0.01
ru,12,0.01
sn,10,0.01
pl,9,0.01
fi,9,0.01
uk,7,0.01
ca,7,0.01
ms,7,0.01
ja,7,0.01
sv,6,0.0
tm,6,0.0
zh,5,0.0
da,5,0.0
