source_type,column,rows,present_rows,coverage_pct
unknown,institutions,9674,9623,99.47
unknown,sri_lankan_institutions,9674,9623,99.47
unknown,countries,9674,9623,99.47
unknown,publisher,9674,8812,91.09
unknown,journal,9674,7776,80.38
unknown,source_type,9674,0,0.0
unknown,issn,9674,80,0.83
unknown,issn_l,9674,80,0.83
unknown,volume,9674,1737,17.96
unknown,issue,9674,340,3.51
unknown,first_page,9674,7530,77.84
unknown,last_page,9674,7526,77.8
unknown,article_number,9674,18,0.19
unknown,language,9674,9674,100.0
unknown,license,9674,1142,11.8
unknown,license_url,9674,6013,62.16
unknown,oa_status,9674,9674,100.0
unknown,is_oa,9674,9623,99.47
unknown,citation_count,9674,9674,100.0
unknown,reference_count,9674,9674,100.0
unknown,concepts,9674,9609,99.33
unknown,topics,9674,9489,98.09
unknown,primary_topic,9674,9489,98.09
unknown,primary_field,9674,9489,98.09
unknown,primary_subfield,9674,9489,98.09
unknown,primary_domain,9674,9489,98.09
unknown,funder_name,9674,390,4.03
unknown,funder_doi,9674,330,3.41
unknown,funder_identifier,9674,332,3.43
unknown,funder_award,9674,127,1.31
unknown,source_set_specs,9674,0,0.0
unknown,raw_identifiers,9674,0,0.0
unknown,citation_count_difference_oa_minus_crossref,9674,8761,90.56
unknown,citation_count_divergence_flag,9674,8761,90.56
unknown,reference_count_difference_oa_minus_crossref,9674,8761,90.56
unknown,reference_count_divergence_flag,9674,8761,90.56
unknown,title_search_text,9674,9601,99.25
unknown,abstract_search_text,9674,1093,11.3
unknown,abstract_missing_flag,9674,9674,100.0
unknown,keywords_search_text,9674,0,0.0
unknown,funder_name_missing_flag,9674,9674,100.0
unknown,funder_doi_missing_flag,9674,9674,100.0
unknown,funder_identifier_missing_flag,9674,9674,100.0
unknown,funder_award_missing_flag,9674,9674,100.0
unknown,license_missing_flag,9674,9674,100.0
unknown,license_url_missing_flag,9674,9674,100.0
unknown,pdf_url_missing_flag,9674,9674,100.0
unknown,author_orcids_missing_flag,9674,9674,100.0
unknown,article_number_missing_flag,9674,9674,100.0
unknown,authors_clean,9674,9674,100.0
unknown,author_disambiguation_available_flag,9674,9674,100.0
