license,rows,pct
unknown,94641,73.08
cc-by,25488,19.68
cc-by-nc-nd,3574,2.76
cc-by-nc,2374,1.83
cc-by-sa,1045,0.81
cc-by-nc-sa,924,0.71
cc-by-nd,729,0.56
other-oa,490,0.38
public-domain,244,0.19
publisher-specific-oa,3,0.0
